query_id,tier,platform,iteration,cited,thegeolab_rank,retrieval_set_size,notes
T1-Q1,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q1,T1,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q2,T1,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T1-Q3,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q3,T1,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T1-Q3,T1,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T1-Q3,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q3,T1,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T1-Q4,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q4,T1,chatgpt-gpt4o-mini,2,Y,1,2,slug=/extractability/?utm_source=openai/
T1-Q4,T1,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T1-Q4,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q4,T1,chatgpt-gpt4o-mini,5,N,,2,
T1-Q5,T1,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T1-Q5,T1,chatgpt-gpt4o-mini,2,N,,0,no-annotations
T1-Q5,T1,chatgpt-gpt4o-mini,3,N,,0,no-annotations
T1-Q5,T1,chatgpt-gpt4o-mini,4,N,,0,no-annotations
T1-Q5,T1,chatgpt-gpt4o-mini,5,N,,0,no-annotations
T2-Q1,T2,chatgpt-gpt4o-mini,1,N,,0,no-annotations
T2-Q1,T2,chatgpt-gpt4o-mini,2,N,,0,no-annotations
