query_id,query_text,target_page,iterations_run,fan_out_count_mode,fan_out_stable,jaccard_similarity,frozen_sub_queries,citation_rate,correct_page_citation_rate,wrong_page_citations,synthesis_owner_modal,everything_pr_appearances,thatware_appearances,hashmeta_appearances,gis_noise_count_total,search_queries_all_iterations
gs_q1,GEO Stack framework,/geo-stack/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,arxiv.org,0,0,0,0,[]
gs_q2,GEO Stack layers,/geo-stack/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,null,1,0,0,2,[]
gs_q3,GEO Stack model,/geo-stack/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,planet.osgeo.org,0,0,0,0,[]
gs_q4,GEO Stack approach,/geo-stack/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,null,2,0,0,0,[]
gs_q5,GEO Stack methodology,/geo-stack/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,www.theamericanreporter.com,5,0,0,0,[]
ex_q1,extractability AI search,/extractability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,www.lumar.io,0,0,0,0,[]
ex_q2,content extractability GEO,/extractability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,www.lumar.io,0,0,0,0,[]
ex_q3,passage extractability,/extractability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,www.lumar.io,0,0,0,0,[]
ex_q4,extractability measurement,/extractability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,arxiv.org,0,0,0,0,[]
ex_q5,extractability score,/extractability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,arxiv.org,0,0,0,0,[]
rp_q1,retrieval probability GEO,/retrieval-probability/,5,0,NO_FANOUT,0.0,[],1.0,0.0,"[""/faq-retrieval-experiment/"", ""/faq-retrieval-experiment/"", ""/faq-retrieval-experiment/"", ""/faq-retrieval-experiment/"", ""/faq-retrieval-experiment/""]",thegeolab.net,0,0,0,0,[]
rp_q2,retrieval probability AI,/retrieval-probability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,jakobnielsenphd.substack.com,0,0,0,0,[]
rp_q3,retrieval probability measure,/retrieval-probability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,arxiv.org,0,0,0,0,[]
rp_q4,retrieval probability factors,/retrieval-probability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,null,0,0,0,0,[]
rp_q5,retrieval probability optimisation,/retrieval-probability/,5,0,NO_FANOUT,0.0,[],0.0,0.0,,en.wikipedia.org,0,0,0,0,[]
